COGNATE PAIRS

ROMANIAN             PORTUGUESE           
prestimoniu          prestimoniu          
presto               presto               
pretențios           pretensioso          
preterit             pretérito            
preterițiune         preterição           
pretext              pretexto             
prețios              precioso             
pretor               pretor               
pretorian            pretoriano           
prevarica            prevarica            
prevenție            prevenção            
prezbiacuzie         presbiacusia         
prezbiopie           presbiopia           
prezbiteriu          presbitério          
prezență             presença             
prezentare           apresentação         
prezerva             preservar            
prezervare           preservação          
prezervativ          preservativo         
prezidiu             presídio             
prezenta             apresentar           
prezumptiv           presuntivo           
prezumție            presunção            
prezumțios           presunçoso           
prezumtiv            presuntivo           
priapeu              priapeu              
primat               primaz               
primicer             primicer             
primitiv             primitivo            
primogenit           primogenit           
primordiu            primordiu            
primulă              prímula              
princeps             princeps             
principal            principal            
principat            principado           
principesă           princesa             
principiu            princípio            
prințesă             princesa             
prioritate           prioridade           
prismatoid           prismatoid           
pritan               pritan               
priva                privar               
privat               privado              
privată              privado              
privațiune           privação             
privativ             privativo            
privatiza            privatizar           
privez               privar               
privilegiŭ           privilégio           
pro                  pró                  
probabil             provavelmente        
probabilism          probabilismo         
probabilitate        probabilidade        
probant              probant              
probat               provou               
probație             provação             
probațiune           provação             
probitate            probidade            
problemă             problema             
proboscidă           proboscidea          
procambiu            procambiu            
procariot            procariotas          
procedare            procedare            
proceleusmatic       proceleusmatic       
proces               processo             
procesiune           procissão            
procesor             processador          
proclama             proclamar            
proclamație          proclamação          
proconsul            procônsul            
proconsular          proconsular          
procrea              procriar             
procreație           procriação           
procreațiune         procriação           
procreator           procriador           
proctalgie           proctalgia           
proctoplastie        proctoplastie        
proctoscopie         proctoscope          
proctotomie          proctotomie          
procurator           procurador           
prodiga              pródigo              
prodigios            prodigiosamente      
produc               produzir             
produce              produzir             
produs               produto              
proeminent           proeminente          
profan               profano              
profana              profano              
profază              prophase             
profesie             profissão            
profesiogramă        profissão            
profesiune           profissão            
profesoară           professor            
profesor             professor            
profet               profeta              
profetic             profético            
profil               perfil               
profund              profundo             
profunditate         profundidade         
profuziune           profusão             
progenitor           progenitor           
prognat              prognatismo          
prognostic           prognóstico          
program              programa             
progres              progresso            
progresie            progressão           
progresism           progressismo         
progresiune          progressão           
prohibi              proibir              
prohibiție           proibição            
prohibitiv           proibitivo           
prohibitoriu         prohibitoriu         
proiect              projeto              
proiecție            projeção             
proiectil            projétil             
proiecționist        projecionista        
proiecționistă       projecionista        
proiecțiune          projeto              
proiector            projetor             
prolaps              prolapso             
prolegomene          prolegómenos         
prolepsă             prolepsă             
proletar             proletário           
proli                proliferação         
prolifer             proliferação         
proliferare          proliferação         
prolix               prolixo              
prolog               prólogo              
promiscuu            promíscuo            
promisiune           promessa             
promontoriu          promontório          
promotoare           promotor             
promotor             promotor             
promova              promover             
promulga             promulgar            
pronație             pronação             
pronator             pronador             
pronominal           pronominal           
pronostic            prognóstico          
pronume              pronome              
pronunț              pronunciar           
propaga              propagar             
propagandă           propaganda           
propan               propano              
propedeutică         propedêutico         
propensiune          propensão            
propice              propício             
proporție            proporção            
proporții            proporção            
proporțional         proporcional         
proporționalitate    proporcionalidade    
proporționat         proporcionado        
proporțiune          proporção            
propriu              próprio              
proprietar           proprietário         
proprietară          proprietário         
proprietate          propriedade          
propulsie            propulsão            
propune              propor               
proroga              prorrogar            
prosceniŭ            prosceniŭ            
proscrie             proscrever           
prosector            prossector           
prosopalgie          prosopalgie          
prosopografie        prosopografie        
prosopopeie          prosopopeie          
prospect             prospecto            
prosperitate         prosperidade         
prostată             próstata             
prostatită           prostatite           
prostituată          prostituta           
prostitută           prostituta           
prostituție          prostituição         
protagonist          protagonista         
protază              prótase              
protecție            proteção             
protecționism        protecionismo        
protector            protetor             
proteiform           proteiforme          
proteină             proteína             
proteja              proteger             
proteolitic          proteolítica         
proteoliză           proteólise           
proterv              proterv              
protestant           protestante          
protist              protist              
protocol             protocolo            
prototip             protótipo            
protuberanță         protuberância        
proudhonian          proudhoniano         
provă                proa                 
provensal            provençal            
provensală           provençal            
proverb              provérbio            
proverbial           proverbial           
providență           providência          
providențial         providencial         
provincial           provincial           
provincie            província            
provocație           provocação           
proxim               próximo              
proximitate          proximidade          
proză                prosa                
prozaic              prosaico             
prozelit             proselitismo         
prozelită            proselitismo         
prudent              prudente             
prurigo              prurigo              
prurit               prurido              
prusic               prussic              
psalm                salmo                
psalmist             salmista             
psalterion           saltério             
psamom               psamom               
psamon               psamon               
psi                  psi                  
psihastenie          psihastenie          
psihedelic           psicodélico          
psiholog             psicólogo            
psihotic             psicótico            
psihotrop            psicotrópica         
psilomelan           psilomelan           
psitacism            psitacism            
psitaco              psitaco              
psoas                psoas                
psoriazis            psoríase             
pterido              pterido              
pterigion            pterígio             
pterodactil          pterodáctilo         
pub                  pub                  
pubertate            puberdade            
pubis                púbis                
publică              público              
publican             publicano            
publicație           publicação           
publicațiune         publicação           
pudibund             pudibund             
puding               pudim                
puerperal            puerperal            
puerperiu            puerperiu            
pulie                polia                
pulmon               pulmão               
puls                 pulso                
pulsatil             pulsátil             
pulso                pulso                
pulverizare          pulverização         
pulverizat           pulverização         
punct                ponto                
puncție              punção               
puncțiune            punção               
punctuație           pontuação            
punctuațiune         pontuação            
punibil              punibil              
punitiv              punitivo             
pupăză               poupa                
pupilar              pupilar              
pur                  puro                 
pură                 puro                 
purces               procedeu             
purgare              purgare              
purgație             purgação             
purgatoriu           purgatório           
purifica             purificar            
purină               purina               
puritan              puritano             
puritate             pureza               
puroi                pus                  
purulent             purulento            
pusilanim            pusilanim            
pustulos             pustuloso            
putativ              putativo             
putativă             putativo             
putrefacție          putrefação           
putrescibil          putrescible          
putrid               pútrido              
puzzolană            pozolana             
quaker               quacre               
quakerism            quacrismo            
quarc                quark                
quark                quark                
quasag               quasag               
quasar               quasar               
quebracho            quebracho            
quetzal              quetzal              
rabdomanție          rabdomanţie          
rabic                raiva                
rabie                raiva                
rabin                rabino               
racemiform           racemiform           
radar                radar                
radian               radiano              
radiant              radiante             
radiație             radiação             
radiațiune           radiação             
radiator             radiador             
radical              radical              
radicalism           radicalismo          
radiciform           radiciform           
radicivor            radicivor            
radicotomie          radicotomie          
radiografie          radiografia          
radiografic          radiográfica         
radiolar             radiolarian          
radioscopie          radioscopia          
radius               raio                 
radix                raiz                 
radulă               rádula               
rafting              rafting              
ragut                ragut                
rallentando          rallentando          
rampă                rampa                
rampant              rampante             
ramură               ramo                 
rânced               rançoso              
râncezi              rançoso              
ranch                rancho               
randomiza            randomizado          
randomizare          randomização         
rapacitate           rapacidade           
rapid                rápido               
rapsodie             rapsódia             
raptus               raptus               
raritate             raridade             
râs                  riso                 
rasial               racial               
rășină               resina               
rășinos              resinoso             
rășinoase            resinoso             
rasism               racismo              
rasist               racista              
ratafia              ratafia              
rație                ração                
ratifica             ratificar            
ratificare           ratificação          
ratinare             ratinare             
rațiocina            raţiocina            
rațiocinare          raţiocinare          
rațional             racional             
raționalism          racionalismo         
raționalist          racionalista         
rațiune              razão                
râuri                rios                 
ravenă               ravina               
ravena               ravina               
ravioli              ravioli              
râde                 rir                  
re                   re                   
reactanță            reatância            
reacție              reação               
reacționar           reacionário          
reacțiune            reação               
reactiv              reativo              
reactor              reator               
real                 real                 
realizare            realização           
rebel                rebelde              
rebeliune            rebelião             
rebord               rebordo              
recalcitrant         recalcitrante        
recent               recentemente         
receptacul           receptáculo          
recepție             recepção             
receptiv             receptivo            
reces                recesso              
recesiune            recessão             
rechiziție           requisição           
recicla              reciclar             
recipe               receita              
recipiendar          recipiendar          
recipiendară         recipiendară         
recipient            recipiente           
reciprocitate        reciprocidade        
recita               recitar              
recital              recital              
recitativ            recitativo           
recrea               recrear              
recreație            recreação            
recrutare            recrutamento         
rect                 reto                 
rectangular          retangular           
rectifica            retificar            
recto                reto                 
rectocel             rectocele            
rector               reitor               
rectoscopie          rectoscopia          
rectum               reto                 
recupera             recuperar            
recurent             recorrente           
recursie             recursão             
redhibitoriu         redhibitoriu         
redibitoriŭ          redibitoriŭ          
reduce               reduzir              
reducționism         reducionismo         
reducțiune           redutível            
redundant            redundante           
redundanță           redundância          
reeligibil           reelegíveis          
refectoriu           refeitório           
referendum           referendo            
referentă            referente            
reflecta             refletir             
reflecție            reflexão             
reflector            refletor             
reflex               reflexo              
reflexie             reflexo              
reflexiv             reflexivo            
reformat             reformado            
reformator           reformador           
reformism            reformismo           
reformist            reformista           
refractar            refratário           
refracție            refração             
refracțiune          refração             
refracto             refratômetro         
refractometru        refratômetro         
refrangibil          refrangível          
refrigera            refrigerar           
refrigerație         refrigeração         
refugii              refúgios             
refugiu              refúgio              
refuta               refutar              
regalare             regalar              
regată               regata               
rege                 rei                  
regenera             regenerar            
regenerat            regenerar            
regent               regente              
regicid              regicídio            
regim                regime               
regină               rainha               
regional             regional             
regiune              região               
regn                 reino                
regresiune           regressão            
regular              regular              
regulare             regulação            
regularitate         regularidade         
regulat              regular              
reificare            reificação           
relație              relacionamento       
relațiune            relativamente        
relativ              relativamente        
relativism           relativismo          
relativist           relativista          
relaxă               relaxado             
relaxare             relaxamento          
relaxat              relaxado             
relicvă              relíquia             
religie              religião             
religios             religioso            
religiozitate        religiosidade        
religiune            religião             
rem                  rem                  
remediabil           remediável           
remediere            remediação           
remediu              remédio              
remige               rémige               
reminiscență         reminiscência        
remite               remeter              
remisiune            remissão             
remont               remont               
remontă              remonta              
remonta              remonta              
remoră               remorso              
remunerație          remuneração          
ren                  rena                 
renal                renal                
reni                 rena                 
renină               renina               
renitent             renitente            
renova               renovar              
renovat              renovado             
renovator            renovador            
rentabil             rentável             
reofil               reofil               
reofor               reofor               
reostat              reóstato             
reotropism           reotropism           
repara               reparar              
reparabil            reparável            
reparat              reparado             
reparațiune          reparação            
repatria             repatriar            
repatriere           repatriação          
repercusiune         repercussão          
repertoriu           repertório           
repeta               repetir              
repeți               repetir              
repetiție            repetição            
repetițiune          repetição            
repetitoare          repetidores          
reportaj             reportagem           
reporter             repórter             
reporteră            repórter             
reprehensibil        repreensível         
represiune           repressão            
represiv             repressivo           
represor             repressor            
reprezalii           reprezalii           
reprezenta           representar          
reprezentant         representante        
reprezentație        representação        
reprezentațiune      representação        
reprima              reprimir             
reproba              reprovar             
reprobabil           reprovável           
reprobator           reprovador           
reptil               réptil               
repugnant            repugnante           
repulsie             repulsão             
repulsiune           repulsão             
reputat              reputado             
reputație            reputação            
reputațiune          reputação            
resciziune           rescisão             
rescizoriu           rescizoriu           
rescript             rescrito             
resignare            resignare            
resolubil            resolubil            
resonator            ressoador            
resorcină            resorcinol           
respecta             respeito             
respira              respirar             
respirabil           respirável           
respirare            respiradores         
respirație           respiração           
respirațiune         respiração           
responsabil          responsável          
responsabilitate     responsabilidade     
responsoriu          responsoriu          
restaura             restaurar            
restaurație          restauração          
restaurațiune        restauração          
restaurator          restaurador          
restituție           restituição          
restituțiune         restituição          
restitutoriu         restitutoriu         
restricție           restrição            
restricțiune         restrição            
restrictiv           restritivo           
resurecție           ressurreição         
resurgență           ressurgimento        
resuscita            ressuscitar          
retablu              retábulo             
retenție             retenção             
reticență            reticência           
reticular            reticular            
reticulat            reticulado           
reticulo             retículo             
retină               retina               
retor                retor                
retoric              retórico             
retorică             retórica             
retrage              retirar              
retribuție           retribuição          
retroceda            retroceder           
retrocesiune         retrocessão          
retroflex            retroflex            
retrognatism         retrognatismo        
retrograd            retrógrada           
retrogradație        retrogradação        
retrogradațiune      retrogradação        
retrors              retrors              
reumatic             reumático            
reumatism            reumatismo           
revanșă              vingança             
revanșism            revanchismo          
revela               revelar              
revelație            revelação            
revelațiune          revelação            
reverend             reverendo            
reverendă            reverendo            
reverendisim         reverendisim         
reverență            reverência           
reversie             reversão             
reversiune           reversão             
revizie              revisão              
revizionism          revisionismo         
revizionist          revisionista         
reviziune            revisão              
revocabil            revogável            
revolut              revolute             
revoluție            revolução            
revoluțiune          revolução            
revolver             revólver             
revulsiv             revulsivo            
rezedă               resedá               
rezervat             reservado            
rezervist            reservista           
rezida               residir              
rezident             residente            
reziduu              resíduo              
rezină               resina               
rezista              resistir             
rezistent            resistente           
rezolut              resolutamente        
rezoluție            resolução            
rezolutoriu          rezolutoriu          
rezolva              resolver             
rezonabil            razoável             
rezonanță            ressonância          
rezorcină            resorcina            
rezulta              resultar             
rezultat             resultar             
rezuma               resumir              
ricoșare             ricochete            
ricoșeu              ricochete            
ricșă                riquexó              
ridicol              ridículo             
ridicul              ridículo             
rigă                 rei                  
rigid                rígido               
rigoare              rigor                
rigorist             rigorista            
riguros              rigoroso             
rimă                 rima                 
rima                 rima                 
rimel                rímel                
rinalgie             rinalgie             
rinencefal           rinencefal           
rinforzando          rinforzando          
rinichi              rim                  
rinită               rinite               
rinocer              rinoceronte          
rinolalie            rinolalie            
rinoplastie          rinoplastia          
rinoree              rinorréia            
rinotomie            rinotomie            
ripostă              riposta              
rit                  rito                 
ritidom              ritidom              
ritornelă            ritornelă            
ritual               ritual               
rival                rival                
rivală               rival                
rivalitate           rivalidade           
rixă                 rixa                 
rizibil              risível              
rizoto               risotto              
roadster             roadster             
robă                 robe                 
rober                rober                
robot                robô                 
roburit              robur                
robust               robusto              
rocă                 rocha                
rocaille             rocaille             
rocambolesc          rocambolesc          
roci                 rochas               
rococo               rococó               
rodocrozit           rhodochrosite        
rodoficee            rodoficee            
romanță              romance              
romantic             romântico            
roquefort            roquefort            
rostral              rostral              
rotacism             rotacismo            
rotație              rotação              
rotațiune            rotação              
rotativ              rotativo             
rotativă             rotativo             
rotatoriu            rotatoriu            
rotondă              rotunda              
rotulă               rótula               
roză                 rosa                 
rozacee              rosácea              
rozaceŭ              rosácea              
rozariu              rosário              
rozetă               roseta               
rubarbă              ruibarbo             
ruber                ruber                
rubescent            rubescent            
rubiaceŭ             rubiaceŭ             
rubidiu              rubídio              
rubin                rubi                 
rublă                rublo                
rucolă               rúcula               
rudiment             rudimentos           
rufianesc            rufianesc            
rugozitate           rugosidade           
ruină                arruinar             
rula                 rolar                
rulare               rolante              
ruletă               roleta               
ruminație            ruminação            
runic                rúnico               
rural                rural                
rus                  russo                
rusă                 russo                
ruse                 russo                
rușii                russos               
rustic               rústico              
rusticitate          rusticidade          
rusulă               russo                
rutilant             rutilo               
rutină               rotina               
sabotare             sabotar              
sabota               sabotar              
sacelus              sacelus              
sacerdotal           sacerdotal           
sachet               sachê                
saciform             saciform             
sacralgie            sacralgie            
sacrament            sacramento           
sacrariu             sacrariu             
sacrifica            sacrificar           
sacrificare          sacrificar           
sacrileg             sacrílego            
sacrilege            sacrilégio           
sacrilegiu           sacrilégio           
sacristan            sacristão            
sacristie            sacristia            
sacro                sacro                
sacrosanct           sacrossanto          
sacrum               sacro                
sadic                sádico               
sadism               sadismo              
saducheu             saduceu              
safari               safári               
safir                safira               
sagace               sagaz                
sagacitate           sagacidade           
șagrin               chagrém              
saia                 saia                 
sainetă              sainetă              
saladă               salada               
salam                salame               
salamandră           salamandra           
salangană            salangană            
salariu              salário              
salată               salada               
salicină             salicin              
salin                salina               
salină               salinas              
salivă               saliva               
salivare             salivar              
salivație            salivação            
salivațiune          salivação            
salmon               salmão               
salmoneloză          salmonelose          
salon                salão                
salpetru             salitre              
saltarello           saltarello           
salubru              salubre              
salutar              salutar              
salvator             salvador             
salvie               sálvia               
sămânță              semente              
șambelan             camareiro            
șampanie             champanhe            
sanatoriu            sanatório            
sanctifica           santificar           
sanctitate           santidade            
sanctuar             santuário            
sandal               sandália             
sandală              sandália             
sandarac             sandarac             
sandvici             sanduíche            
sandviș              sanduíche            
sânge                sangue               
sanguin              sanguíneo            
sanguină             sangue               
sangvin              sangue               
șansă                chance               
santinelă            sentinela            
sanviș               sanduíche            
sapient              sapiente             
sapiență             sapiente             
saponaria            saponaria            
saponifica           saponificar          
saponificare         saponificação        
saporific            saporific            
saprogen             saprogen             
sapropel             sapropel             
săptămână            semana               
sarabandă            sarabanda            
șaradă               charada              
sarcasm              sarcasmo             
sarcofag             sarcófago            
sarcolemă            sarcolema            
sarcom               sarcoma              
sarcoplast           sarcoplast           
sarcopt              sarcóptica           
sardea               sardinha             
sardonic             sardônico            
sardonice            sardônico            
șarlatan             charlatão            
șarlotă              charlotte            
sațietate            saciedade            
satin                cetim                
satinat              cetim                
satir                sátiro               
satiră               sátira               
satiri               sátiros              
satiric              satírico             
satisfacție          satisfação           
satisfacțiune        satisfação           
satrap               sátrapa              
saturabil            saturable            
saturație            saturação            
saturațiune          saturação            
saună                sauna                
savană               savana               
savarină             savarin              
saxatil              saxatil              
saxicol              saxícola             
saxifragă            saxífraga            
saxofon              saxofone             
scabros              escabroso            
scală                escala               
scalen               escaleno             
scandal              escândalo            
scandaliza           escandalizar         
scandalizat          escandalizou         
scandalos            escandaloso          
scandinav            escandinavo          
scapulalgie          scapulalgie          
scarabeŭ             escaravelho          
scarifica            escarificar          
scarificat           escarificador        
scarlatină           escarlatina          
scatol               escatol              
scenă                cena                 
scenic               cênico               
scenografie          cenografia           
sceptic              cético               
sceptru              cetro                
schelet              esqueleto            
schemă               esquema              
scherzando           scherzando           
scherzo              scherzo              
schi                 esqui                
schiere              esquiar              
schismă              cisma                
schismatic           cismático            
schooner             escuna               
sciatic              ciático              
sciatică             ciática              
scientist            cientista            
scit                 cita                 
sclav                escravo              
sclavă               escravo              
scleră               esclera              
sclerodermie         esclerodermia        
sclerot              esclerótico          
școală               escola               
scolastică           escolástica          
școli                escolas              
scopolamină          escopolamina         
scorbut              escorbuto            
scorie               escória              
scorpion             escorpião            
scotom               scotoma              
scrib                escriba              
scribomanie          scribomanie          
scrimă               esgrima              
scrofulă             escrofuloso          
scrot                escroto              
scrupul              escrúpulos           
scrupulozitate       escrupulosidade      
scrutare             scrutare             
scuamos              escamosas            
sculpta              esculpir             
sculptor             escultor             
sculptură            escultura            
sebaceŭ              sebáceo              
seboree              seborréia            
sebum                sebo                 
secat                secar                
secesiune            secessão             
sechestra            seqüestrar           
secol                século               
secret               segredo              
secretar             secretário           
secretară            secretário           
secreție             secreção             
secrețiune           segredo              
sector               setor                
sectorial            sectorial            
secular              secular              
secund               segundo              
secundă              segundo              
secundar             secundário           
secundi              segundo              
secvență             seqüência            
sedat                sedado               
sedativ              sedativo             
sedentar             sedentário           
sediment             sedimento            
sedimento            sedimento            
sedimentologie       sedimentologia       
sedițios             sedicioso            
sedițiune            sedição              
seduce               seduzir              
seducție             sedução              
șef                  chefe                
segment              segmento             
seguidilla           seguidilla           
seismo               sismo                
seismoterapie        seismoterapie        
selecție             seleção              
selenit              selenito             
sema                 sema                 
semantic             semântico            
semasiologie         semasiologia         
semestru             semestre             
seminal              seminal              
seminar              seminário            
semiologie           semiologia           
semizeŭ              semideus             
semnatar             signatário           
semnatară            signatário           
semnifica            significar           
semnificat           significava          
semnificațiune       significativamente   
semnificativ         significativamente   
sempitern            sempitern            
senar                senário              
senat                senado               
senatoare            senador              
senator              senador              
senatorial           senatorial           
senil                senil                
senilia              senil                
senina               sereno               
seninătate           serenidade           
senior               senior               
sensibil             sensível             
sensibilă            sensível             
sensibile            sensível             
sensibilitate        sensibilidade        
sensor               sensor               
sensual              sensual              
sentențios           sentencioso          
sentință             sentença             
senzor               sensor               
senzual              sensual              
sepală               sépala               
separa               separado             
separabil            separável            
separat              separadamente        
separație            separação            
separațiune          separação            
separator            separador            
separe               separado             
septemvir            septemvir            
septenal             septenal             
septi                septi                
septic               séptico              
septicemie           septicemia           
septilion            septilion            
septimă              sétimo               
septuagenar          septuagenário        
sepulcral            sepulcral            
sepulcru             sepulcru             
serafic              seráfico             
serafim              serafim              
serenisim            serenisim            
serenitate           serenidade           
sergent              sargento             
serie                série                
sericeu              sericeu              
serinetă             serinetă             
seroterapie          seroterapie          
serpentariu          serpentariu          
serpentin            serpentina           
serpiginos           serpiginos           
serv                 servo                
servi                servir               
serviciŭ             serviço              
servil               servilmente          
servire              de servir            
servit               servido              
sesie                séssil               
sesil                séssil               
sesiune              sessão               
setaceu              setaceu              
sevă                 seiva                
șeviot               cheviote             
sex                  sexo                 
sexagenar            sexagenário          
sexagenară           sexagenário          
sexism               sexismo              
sexist               sexista              
sexo                 sexo                 
sexologie            sexologia            
sextant              sextante             
sextină              sextina              
sextuplu             sextuplu             
sexual               sexual               
sferă                esfera               
sferic               esférico             
sferometru           esferômetro          
sfincter             esfíncter            
sforzando            sforzando            
sfumato              sfumato              
sgraffito            sgraffito            
sialagog             sialagog             
sibarit              sibarita             
sibilă               sibila               
sibilant             sibilante            
sibilantă            sibilante            
sibilin              sibilino             
șic                  chique               
sica                 sica                 
sicofant             sicofanta            
sicomor              sicômoro             
sideral              sideral              
sideremie            sideremia            
sideroscop           sideroscop           
sideroză             siderose             
sieși                se                   
sifilitic            sifilítico           
siflee               siflee               
sifonofor            sifonofor            
sigilo               sigilo               
sigmoid              sigmóide             
signaletic           sinalética           
signatar             signatar             
signatară            signatară            
signet               sinete               
sigur                seguro               
silabă               sílaba               
silabic              silábico             
silabus              silabus              
silențios            silencioso           
silepsă              silepsă              
silex                silex                
silicon              silicone             
