COGNATE PAIRS

ROMANIAN             SPANISH              
probabilitate        probabilidad         
probitate            probidad             
problemă             problema             
proces               proceso              
procesiune           procesión            
proclama             proclamar            
proclamație          proclamación         
proconsul            procónsul            
proconsular          proconsular          
proconsulat          proconsulado         
procrea              procrear             
procreație           procreación          
procreațiune         procreación          
procreator           procreador           
procurator           procurador           
prodiga              pródigo              
produc               producir             
produce              producir             
product              producto             
profan               profano              
profana              profano              
profanat             profanado            
profesie             profesión            
profesiune           profesión            
profesoară           profesor             
profesor             profesor             
profet               profeta              
profetic             profético            
profund              profundo             
profunditate         profundidad          
profuziune           profusión            
progenitor           progenitor           
prognostic           pronóstico           
program              programa             
progres              progreso             
progresie            progresión           
progresiune          progresión           
prohibi              prohibir             
prohibiție           prohibición          
proiect              proyecto             
proiecție            proyección           
proiectil            proyectil            
prolaps              prolapso             
proletar             proletario           
prolix               prolijo              
promiscuu            promiscuo            
promisiune           promesa              
promontoriu          promontorio          
promoțiune           promotor             
promotoare           promotor             
promotor             promotor             
promova              promover             
promovat             promovido            
prompt               pronto               
promulga             promulgar            
pronominal           pronominal           
pronostic            pronóstico           
pronume              pronombre            
pronunț              pronunciar           
pronunțat            pronunciado          
propaga              propagar             
propagandă           propaganda           
propensiune          propensión           
propice              propicio             
proporție            proporción           
proporții            proporción           
proporțional         proporcional         
proporționalitate    proporcionalidad     
proporțiune          proporción           
proprietar           propietario          
proprietară          propietario          
propune              proponer             
proroga              prorrogar            
proscrie             proscribir           
prospect             prospecto            
prosperitate         prosperidad          
prostituată          prostituta           
prostitută           prostituta           
prostituție          prostitución         
protecție            protección           
protector            protector            
proteja              proteger             
protocol             protocolo            
protuberanță         protuberancia        
proverb              proverbio            
proverbial           proverbial           
providență           providencia          
provincial           provincial           
provincie            provincia            
provocație           provocación          
provocator           provocador           
proxim               próximo              
proximitate          proximidad           
proză                prosa                
prozaic              prosaico             
prozodie             prosodia             
prudent              prudente             
prurigo              prurigo              
prurit               prurito              
psalm                salmo                
psalmist             salmista             
psihedelic           psicodélico          
pubertate            pubertad             
pubescent            pubescente           
pubis                pubis                
publică              público              
publican             publicano            
publicație           publicación          
publicațiune         publicación          
puding               pudín                
puerilitate          puerilidad           
pulie                polea                
pulmon               pulmón               
pulpă                pulpa                
puls                 pulso                
pulsar               pulsar               
pulso                pulso                
punci                ponche               
punct                punto                
puncție              punción              
puncțiune            punción              
punic                púnico               
punice               púnico               
punițiune            punitivo             
punitiv              punitivo             
pur                  puro                 
pură                 puro                 
purces               procedió             
purgare              purgare              
purgație             purgación            
purgatoriu           purgatorio           
purica               pulga                
puricat              pulgas               
purifica             purificar            
puritan              puritano             
puroi                pus                  
purpură              púrpura              
purulent             purulento            
pustulos             pustuloso            
putativ              putativo             
putativă             putativo             
putrefacție          putrefacción         
puzzolană            puzolana             
quadrivium           cuadrivio            
quaker               cuáquero             
rabic                rabia                
rabie                rabia                
racemi               racimo               
radar                radar                
radian               radián               
radiant              radiante             
radiație             radiación            
radiațiune           radiación            
radical              radical              
radius               radio                
ralanti              ralentí              
rampă                rampa                
rampant              rampante             
rânced               rancio               
râncezi              rancio               
rapace               rapaz                
rapacitate           rapacidad            
rapid                rápido               
rarefacțiune         rarefacción          
ratafia              ratafía              
rație                ración               
rațional             racional             
rațiune              razón                
râde                 reír                 
rebec                rabel                
rebel                rebelde              
rebeliune            rebelión             
recalcitrant         recalcitrante        
receptacul           receptáculo          
recepție             recepción            
recepțiune           receptor             
receptiv             receptivo            
receptor             receptor             
recesiune            recesión             
rechiziție           requisición          
reciprocitate        reciprocidad         
recita               recitar              
recrea               recrear              
recreat              recreado             
recreație            recreación           
rect                 recto                
recte                rector               
rectifica            rectificar           
rectitudine          rectitud             
recțiune             rector               
recto                recto                
rector               rector               
rectum               recto                
recupera             recuperar            
recuperator          recuperación         
reduce               reducir              
redundanță           redundancia          
reduplica            reduplicar           
refectoriu           refectorio           
referendum           referéndum           
referentă            referente            
reflecție            reflexión            
reflex               reflejo              
reflexie             reflejo              
reflexiv             reflexivo            
reflexologie         reflexología         
reformator           reformador           
refractar            refractario          
refracție            refracción           
refracțiune          refracción           
refrigera            refrigerar           
refrigerație         refrigeración        
refugii              refugios             
refugiu              refugio              
refuta               refutar              
regată               regata               
regenera             regenerar            
regenerat            regenerar            
regent               regente              
regim                régimen              
regină               reina                
regional             regional             
regiune              región               
regn                 reino                
regres               regresión            
regresiune           regresión            
relație              relación             
relegat              relegado             
relege               relegar              
releu                relé                 
relict               relictos             
relictă              relictos             
relicvă              reliquia             
religie              religión             
religios             religioso            
religiozitate        religiosidad         
religiune            religión             
remediabil           remediable           
remediu              remedio              
remige               rémige               
reminiscență         reminiscencia        
remite               remitir              
remisiune            remisión             
remodela             remodelar            
remunerație          remuneración         
ren                  reno                 
renal                renal                
renan                renano               
reni                 reno                 
renova               renovar              
renovat              renovado             
renunța              renunciar            
repara               reparar              
reparabil            reparable            
reparațiune          reparación           
reparator            reparación           
repatria             repatriar            
repercusiune         repercusión          
repertoriu           repertorio           
repeta               repetir              
repeți               repetir              
repetiție            repetición           
repetițiune          repetición           
represiune           represión            
represiv             represivo            
represor             represor             
reprezenta           representar          
reprima              reprimir             
reprobabil           reprobable           
reproș               reprochar            
reproșa              reprochar            
reptil               reptil               
republică            república            
repugnant            repugnante           
repulsie             repulsión            
repulsiune           repulsión            
reputație            reputación           
reputațiune          reputación           
resciziune           rescisión            
rescript             rescripto            
resignare            resignare            
respecta             respeto              
respira              respirar             
respirabil           respirable           
respirație           respiración          
respirațiune         respiración          
responsabil          responsable          
restaura             restaurar            
restaurație          restauración         
restaurațiune        restauración         
restaurator          restaurador          
restituție           restitución          
restituțiune         restitución          
restricție           restricción          
restricțiune         restricción          
restrictiv           restrictivo          
resurecție           resurrección         
resuscita            resucitar            
retenție             retención            
reticență            reticencia           
reticulo             retículo             
retină               retina               
retoric              retórico             
retorică             retórica             
retracție            retracción           
retroceda            retroceder           
retrograd            retrógrada           
retrogradație        retrogradación       
retrogradațiune      retrogradación       
retrospectiv         retrospectivo        
reumatic             reumático            
reumatism            reumatismo           
revela               revelar              
revelație            revelación           
revelațiune          revelación           
reverend             reverendo            
reverendă            reverendo            
reverență            reverencia           
reversie             reversión            
reversiune           reversión            
revizie              revisión             
reviziune            revisión             
revoca               revocar              
revocabil            revocable            
revocat              revocado             
revoluție            revolución           
revoluțiune          revolución           
revolver             revólver             
revulsie             revulsión            
revulsiune           revulsión            
revulsiv             revulsivo            
rezecție             resección            
rezedă               reseda               
rezida               residir              
rezident             residente            
reziduu              residuo              
rezină               resina               
rezista              resistir             
rezistor             resistor             
rezoluție            resolución           
rezolva              resolver             
rezonanță            resonancia           
rezuma               resumir              
rictus               rictus               
ridicol              ridículo             
ridicul              ridículo             
rigă                 rey                  
rigid                rígido               
rigoare              rigor                
rimă                 rima                 
rinichi              riñón                
rinocer              rinoceronte          
risca                riesgo               
ritual               ritual               
rival                rival                
rivală               rival                
rivalitate           rivalidad            
rizibil              risible              
robust               robusto              
rococo               rococó               
roibă                rubia                
rom                  ron                  
romanic              romance              
rondel               rondel               
roquefort            roquefort            
rosbif               rosbif               
rostral              rostral              
rotație              rotación             
rotațiune            rotación             
rotondă              rotonda              
rotulă               rótula               
rozaceŭ              rosácea              
rozariu              rosario              
rubarbă              ruibarbo             
rubidiu              rubidio              
rudiment             rudimento            
ruină                ruina                
ruletă               ruleta               
rural                rural                
rustic               rústico              
rusticitate          rusticidad           
rută                 ruta                 
rutină               rutina               
sabat                sábado               
sable                sable                
sabotare             sabotear             
sabota               sabotear             
șacal                chacal               
sacerdot             sacerdote            
sacerdotal           sacerdotal           
sacrament            sacramento           
sacrifica            sacrificar           
sacrificare          sacrificar           
sacrileg             sacrílego            
sacrilegiu           sacrilegio           
sacristan            sacristán            
sacristie            sacristía            
sacrosanct           sacrosanto           
saducheu             saduceo              
safen                safena               
safic                sáfico               
safir                zafiro               
sagace               sagaz                
sagacitate           sagacidad            
saharină             sacarina             
șal                  chal                 
salam                salami               
salamandră           salamandra           
salariu              salario              
sălbatec             salvaje              
sălbatic             salvaje              
salicină             salicina             
salin                salina               
salivă               saliva               
salivație            salivación           
salivațiune          salivación           
salmon               salmón               
salpetru             salitre              
sălta                saltar               
salvator             salvador             
salvie               salvia               
șaman                chamán               
șambelan             chambelán            
sanctifica           santificar           
sanctitate           santidad             
sanctuar             santuario            
sandal               sandalia             
sandală              sandalia             
sandarac             sandáraca            
șanfren              chaflán              
sânge                sangre               
sângera              sangrar              
sanguină             sangre               
sangvin              sangre               
sano                 sano                 
șantaj               chantaje             
santină              sentina              
santinelă            centinela            
șaperon              chaperón             
saponaria            saponaria            
saponifica           saponificar          
săptămână            semana               
șaradă               charada              
sarcasm              sarcasmo             
sarcofag             sarcófago            
sarcom               sarcoma              
sardea               sardina              
șarlatan             charlatán            
satelit              satélite             
sațietate            saciedad             
satinat              satén                
satisface            satisfacer           
satisfacție          satisfacción         
satisfacțiune        satisfacción         
satrap               sátrapa              
satrapie             satrapía             
saturație            saturación           
saturațiune          saturación           
saturnalii           saturnales           
saxifragă            saxífraga            
saxofon              saxófono             
scabioasă            escabiosa            
scabios              escabiosa            
scabros              escabroso            
scală                escala               
scalen               escaleno             
scandal              escándalo            
scandaliza           escandalizar         
scandalizat          escandalizado        
scandalos            escandaloso          
scaner               escáner              
scapulă              escápula             
scarifica            escarificar          
scenic               escénico             
sceptic              escéptico            
sceptru              cetro                
schemă               esquema              
schematism           esquematismo         
schi                 esquí                
schiere              esquí                
schismă              cisma                
schismatic           cismático            
sciatic              ciático              
scit                 escita               
sclav                esclavo              
sclavă               esclavo              
școală               escuela              
scorbut              escorbuto            
scorie               escoria              
scorpion             escorpión            
scrib                escriba              
scriptoriu           escritorio           
scrot                escroto              
scrupul              escrúpulos           
scrutător            escrutador           
scuamos              escamosas            
sculpta              esculpir             
sculptor             escultor             
sculptură            escultura            
scuză                excusar              
scuza                excusar              
seboree              seborrea             
sebum                sebo                 
secat                secar                
secesiune            secesión             
sechestra            secuestrar           
secol                siglo                
secret               secreto              
secreta              secretar             
secretar             secretario           
secretară            secretario           
secreție             secreción            
secrețiune           secreto              
sectă                secta                
sectat               sección              
secție               sección              
secțiune             sección              
sector               sector               
secular              secular              
secund               segundo              
secundă              segundo              
secundar             secundario           
secundi              segundo              
securitate           seguridad            
secvență             secuencia            
sedan                sedán                
sedat                sedado               
sedentar             sedentario           
sediment             sedimento            
sedimento            sedimento            
sedițios             sedicioso            
sedițiune            sedición             
seduce               seducir              
seducție             seducción            
sedus                seducido             
șef                  jefe                 
segment              segmento             
segrega              segregar             
segregat             segregada            
segregație           segregación          
selecție             selección            
semestru             semestre             
seminal              seminal              
seminar              seminario            
seminifer            seminífero           
semnifica            significar           
senatoare            senador              
senator              senador              
sene                 sene                 
senil                senil                
senilia              senil                
seninătate           serenidad            
sensibil             sensible             
sensibilă            sensible             
sensibile            sensible             
sensibilitate        sensibilidad         
sensual              sensual              
sentențios           sentencioso          
sentință             sentencia            
senzual              sensual              
separabil            separable            
separație            separación           
separațiune          separación           
separator            separador            
septimă              séptimo              
septuagenar          septuagenario        
sepulcral            sepulcral            
ser                  suero                
serafim              serafín              
serenitate           serenidad            
serie                serie                
serjă                sarga                
serv                 siervo               
șervet               servilleta           
servi                servir               
serviciŭ             servicio             
servit               servido              
servitudine          servidumbre          
servitute            servidumbre          
sesil                sésil                
sesiune              sesión               
sevă                 savia                
sex                  sexo                 
sexagenar            sexagenario          
sexagenară           sexagenario          
sexagesimal          sexagésimo           
sexo                 sexo                 
sextant              sextante             
sexual               sexual               
sferă                esfera               
sferic               esférico             
sfincter             esfínter             
sibarit              sibarita             
sibilă               sibila               
sibilant             sibilante            
sibilantă            sibilante            
sibilin              sibilino             
sicheră              sidra                
sideral              sideral              
siderit              siderita             
sigilo               sigilo               
sigur                seguro               
silabă               sílaba               
silențios            silencioso           
silicat              silicato             
silice               sílice               
silică               sílice               
siliculă             silícula             
șiling               chelín               
silogism             silogismo            
silogistic           silogístico          
silogistică          silogístico          
siluetă              silueta              
silueta              silueta              
silvi                silvicultura         
silvicultură         silvicultura         
simbolic             simbólico            
simbolică            simbólico            
simetrie             simetría             
simfonie             sinfonía             
simian               simio                
simoniac             simoniaco            
simplifica           simplificar          
simplificat          simplificado         
simplu               simple               
simula               simular              
simulacru            simulacro            
simulație            simulación           
sinceritate          sinceridad           
sincopă              síncope              
sindic               síndico              
sinecdocă            sinécdoque           
sinecură             sinecura             
sinereză             sinéresis            
singular             singular             
singularitate        singularidad         
sinistra             siniestro            
sinistru             siniestro            
sinonimie            sinonimia            
sintaxă              sintaxis             
sinucidere           suicidio             
sinuos               sinuoso              
sinus                seno                 
sirenă               sirena               
sirene               sirenas              
siriacă              siríaco              
sistem               sistema              
sit                  sitio                
situa                situar               
situlă               sitio                
slogan               eslogan              
smoching             esmoquin             
soare                sol                  
sobrietate           sobriedad            
sobru                sobrio               
sociabil             sociable             
social               social               
societate            sociedad             
socio                socio                
sodă                 soda                 
sofa                 sofá                 
sofist               sofista              
sofistă              sofista              
sofistic             sofístico            
solar                solar                
solari               solar                
solariu              solárium             
solear               sóleo                
solecism             solecismo            
solemn               solemne              
solemnitate          solemnidad           
solicita             solicitar            
solicitare           solicitar            
solicitudine         solicitud            
solid                sólido               
solipsism            solipsismo           
solitar              solitario            
solstițiŭ            solsticio            
solubil              soluble              
soluție              solución             
soluțiune            solución             
solvabil             solvente             
solvent              solvente             
somnolent            soñoliento           
sonată               sonata               
sonet                soneto               
sonoritate           sonoridad            
sopran               soprano              
soprană              soprano              
sorbet               sorbete              
sordid               sórdido              
sorg                 sorgo                
sorgo                sorgo                
spadă                espada               
spadasin             espadachín           
spaghete             espaguetis           
spartan              espartano            
spațios              espacioso            
spațiŭ               espacio              
spatulă              espátula             
special              especial             
specială             especial             
specialitate         especialidad         
specios              especioso            
spectacul            espectáculo          
spectator            espectador           
spectru              espectro             
specul               espéculo             
specular             especular            
specula              especular            
speculație           especulación         
speculațiune         especulación         
sperat               esperado             
spermă               esperma              
spinàl               espinal              
spinetă              espineta             
spionaj              espionaje            
spirant              espirante            
spirit               espíritu             
spiritual            espiritual           
spirometru           espirómetro          
spital               hospital             
splendid             espléndido           
splendoare           esplendor            
splenic              esplénico            
spontan              espontáneo           
spută                esputo               
stabil               estable              
stabilitate          estabilidad          
stamină              estambre             
stamini              estambre             
standard             estándar             
stat                 estado               
stație               estación             
staționar            estacionario         
stațiune             estación             
statuă               estado               
statuar              estatuaria           
statuară             estatuaria           
statuie              estatua              
statură              estatura             
status               estado               
stelar               estelar              
stepă                estepa               
steril               estéril              
sterilitate          esterilidad          
stigmă               estigma              
stigmat              estigma              
stigmati             estigma              
știință              ciencia              
stil                 estilo               
stimare              estimar              
stimat               estimado             
stimul               estímulo             
stimula              estimular            
stipendiŭ            estipendio           
stipula              estipular            
stipulație           estipulación         
stipulațiune         estipulación         
stoic                estoico              
stomah               estomacal            
strangula            estrangular          
strangulat           estrangulado         
strangulație         estrangulación       
stratagemă           estratagema          
strateg              estratega            
strati               estratos             
stratigrafie         estratigrafía        
stratosferă          estratosfera         
stratus              estrato              
stres                estrés               
strident             estridente           
stridor              estridor             
strofă               estrofa              
structură            estructura           
struț                avestruz             
stuc                 estuco               
studios              estudioso            
stupefacție          estupefacción        
stupefacțiune        estupefacción        
stupid               estúpido             
stupoare             estupor              
stupor               estupor              
subaltern            subalterno           
subiacent            subyacente           
subiectiv            subjetivo            
subiectiva           subjetivo            
subjonctiv           subjuntivo           
sublim               sublime              
sublima              sublime              
sublimat             sublimar             
sublimitate          sublimidad           
submerge             sumergir             
submersiune          sumersión            
subroga              subrogado            
subrogație           subrogación          
subsidiŭ             subsidio             
subteran             subterráneo          
subterană            subterráneo          
subterfugiŭ          subterfugio          
subtil               sutil                
suburban             suburbano            
suburbie             suburbio             
subversiune          subversión           
subzista             subsistir            
subzistență          subsistencia         
suc                  jugo                 
succesiune           sucesión             
succesoare           sucesor              
succesor             sucesor              
sucomba              sucumbir             
sucțiune             succión              
sucub                súcubo               
sudamină             sudamina             
sudație              sudación             
sudorific            sudorífico           
suficient            suficiente           
sufix                sufijo               
sufragiŭ             sufragio             
sufuziune            sufusiones           
sugera               sugerir              
sugestiv             sugestivo            
șuierare             silbado              
sulf                 azufre               
sumac                zumaque              
sunet                sonido               
supă                 sopa                 
superficial          superficial          
superficie           superficie           
superfluu            superfluo            
superior             superior             
superlativ           superlativo          
supermarket          supermercado         
superstiție          superstición         
superstițios         supersticioso        
supin                supino               
supinație            supinación           
suplicare            suplicare            
supoziție            suposición           
supozitor            supositorio          
suprafață            superficie           
suprem               supremo              
supresiune           supresión            
suprima              suprimir             
suprimat             suprimido            
supurație            supuración           
surdo                sordo                
surfing              surf                 
susceptibil          susceptible          
suspans              suspense             
suspenda             suspender            
suspendat            suspendido           
suspens              suspense             
suspensie            suspensión           
suveran              soberano             
sveter               suéter               
tabernacol           tabernáculo          
tabernacul           tabernáculo          
tabes                tabes                
tabloid              tabloide             
tabular              tabular              
tabulare             tabular              
taburet              taburete             
tacit                tácito               
taciturn             taciturno            
tact                 tacto                
tactil               táctil               
taftă                tafetán              
talar                talar                
talent               talento              
talion               talión               
talisman             talismán             
tamarisc             tamarisco            
tamariscă            tamarisco            
tâmplă               templo               
tandem               tándem               
tangent              tangente             
tangibil             tangible             
tanin                tanino               
tarantelă            tarantela            
tarhon               estragón             
tarlatan             tarlatana            
taroc                tarot                
tartă                tarta                
tartană              tartán               
tatuaj               tatuaje              
tăun                 tábano               
tăuni                tábano               
taurină              taurina              
tauro                tauro                
tavernă              taberna              
teatral              teatral              
teatru               teatro               
tegument             tegumento            
tehnic               técnico              
teletip              teletipo             
telur                telurio              
temă                 tema                 
temeritate           temeridad            
temperament          temperamento         
temperanță           templanza            
temperatură          temperatura          
tempestă             tempestad            
templu               templo               
tempo                tempo                
temporal             temporal             
temporală            temporal             
temporalitate        temporalidad         
temut                temido               
tenace               tenaz                
tenacitate           tenacidad            
tenie                tenia                
tenor                tenor                
tenorino             tenorino             
tentacul             tentáculo            
teologie             teología             
teoremă              teorema              
terebint             terebintos           
terestru             terrestre            
teribil              terrible             
tericol              terrícolas           
terină               terrina              
teritorial           territorial          
teritoriu            territorio           
terme                termas               
termin               terminar             
terminal             terminal             
terminație           terminación          
terminațiune         terminación          
terminus             término              
termit               termita              
ternar               ternario             
teroare              terror               
terțiar              terciario            
testamentar          testamentario        
testator             testador             
testicul             testículo            
testimonial          testimonial          
testimoniu           testimonio           
tetrarh              tetrarca             
tetrarhie            tetrarquía           
teutonic             teutónico            
text                 texto                
textil               textil               
textile              textiles             
textură              textura              
teză                 tesis                
tezaur               tesauro              
thesis               tesis                
tiară                tiara                
tibie                tibia                
tigru                tigre                
timid                tímido               
timpan               tímpano              
tinctură             tintura              
tipic                típico               
tiran                tirano               
tirană               tirano               
tiranic              tiránico             
titan                titanio              
titani               titanes              
titlu                título               
togă                 toga                 
tolera               tolerar              
tolerabil            tolerable            
tolerant             tolerante            
toleranță            tolerancia           
ton                  tono                 
tonsură              tonsura              
tonus                tono                 
topaz                topacio              
torace               tórax                
torent               torrente             
torid                tórrido              
torsiune             torsión              
torticolis           tortícolis           
tortuos              tortuoso             
tortuozitate         tortuosidad          
tortură              tortura              
toxic                tóxico               
tract                tracto               
tracțiune            tracción             
tractus              tracto               
tradiție             tradición            
traduce              traducir             
trafic               tráfico              
tragedie             tragedia             
tragic               trágico              
traiectorie          trayectoria          
trambulină           trampolín            
tramvai              tranvía              
trans                trans                
transă               trance               
transcrie            transcribir          
transcripție         transcripción        
transcripțiune       transcripción        
transfera            transferir           
transferare          transferir           
transfigura          transfigurar         
transfigurat         transfigurado        
transforma           transformar          
transfuziune         transfusión          
transgresa           transgredir          
transgresat          transgredido         
transgresiune        transgresión         
transgresor          transgresor          
transige             transige             
transitiv            transitivo           
transitoriŭ          transitorio          
translucid           translúcido          
transmarin           transmarino          
transmigrație        transmigración       
transmigrațiune      transmigración       
transmisiune         transmisión          
transmuta            transmutar           
transmutație         transmutación        
transportare         transportar          
transportat          transportados        
transpoziție         transposición        
transpozitiv         transposición        
transpune            transponer           
transvers            transverso           
transversal          transverso           
tranzacție           transacción          
tranzistor           transistor           
tranziție            transición           
tranzitiv            transitivo           
tranzitoriu          transitorio          
trapez               trapecio             
tratat               tratado              
traumatic            traumático           
trei                 tres                 
